Age (ka),Insolation (W/m^2)
0,478.5040423
1,480.2554642
2,483.367698
3,487.842079
4,493.529423
5,500.1373377
6,507.1768776
7,514.0114349
8,519.9453134
9,524.3640431
10,526.7501183
11,526.9002818
12,524.8215296
13,520.8083645
14,515.2749019
15,508.6813559
16,501.5062193
17,494.1464233
18,487.022651
19,480.4392685
20,474.6911721
21,470.06057
22,466.7380586
23,464.8800916
24,464.5622687
25,465.7182089
26,468.2039066
27,471.7104494
28,475.8718329
29,480.2427748
30,484.4086253
31,488.065184
32,490.9783199
33,493.098947
34,494.4590687
35,495.1969324
36,495.4790664
37,495.4612661
38,495.3002623
39,495.0975963
40,494.923889
41,494.8309751
42,494.8675221
43,495.0246765
44,495.3326522
45,495.81391
46,496.469633
47,497.3300408
48,498.4340661
49,499.8093641
50,501.4427225
51,503.3205222
52,505.4183824
53,507.5987393
54,509.7131517
55,511.5370338
56,512.8372238
57,513.311182
58,512.760196
59,511.0011411
60,508.0108644
61,503.8309287
62,498.6560763
63,492.7324045
64,486.3839027
65,479.918527
66,473.6702638
67,467.8959777
68,462.9064301
69,458.9289047
70,456.2200424
71,455.0022534
72,455.4932135
73,457.8744868
74,462.2001625
75,468.4302923
76,476.3349184
77,485.4831611
78,495.1747594
79,504.6006754
80,512.8569693
81,519.1717065
82,522.9982736
83,524.2075815
84,522.9708934
85,519.707609
86,514.983268
87,509.3200756
88,503.1849993
89,496.9236043
90,490.8389036
91,485.1900521
92,480.2500914
93,476.3347785
94,473.7648938
95,472.9557175
96,474.2213198
97,477.8679656
98,483.8954998
99,492.087109
100,501.6949306
101,511.6030952
102,520.3164575
103,526.2890267
104,528.3614931
105,526.1327716
106,519.9662465
107,510.8678663
108,500.0361728
109,488.5893866
110,477.4101743
111,467.0621241
112,457.9392773
113,450.3533214
114,444.6255045
115,441.1150425
116,440.2056875
117,442.3328139
118,447.8329199
119,456.8366533
120,469.1209439
121,483.9804826
122,500.1721348
123,515.9321454
124,529.42524
125,539.071448
126,544.0434001
127,544.4044886
128,540.8946661
129,534.5938212
130,526.5690141
131,517.7078925
132,508.5974011
133,499.6437754
134,491.1749304
135,483.3918575
136,476.5426396
137,470.9283647
138,466.7850924
139,464.4057101
140,463.9444901
141,465.4989077
142,468.9729543
143,474.0653541
144,480.2982206
145,486.995598
146,493.412215
147,498.8561037
148,502.7686647
149,504.8760219
150,505.1544927
151,503.8089991
152,501.2135195
153,497.7582168
154,493.8533727
155,489.7807113
156,485.8069293
157,482.1130748
158,478.8330579
159,476.0761311
160,473.9574451
161,472.5669799
